#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Puyo_Puyo_Da_EPR-22206_PATCHED;Puyo Puyo Da! Featurin Ellena System;NAOMI;;1999;Compile;Rhythm;2;Horizontal;2L12B;;;;;;;
QuizKeitaiQMode;Quiz Keitai Q Mode;NAOMI;;2003;Taito;Table;1;Vertical;2L12B;;;;;;;
RadirgyNoa_v6;Radirgy Noa;NAOMI;;2009;Sega;Shoot-'em-Up;2;Horizontal;2L12B;;;;;;;
Radirgy_v3;Radirgy;NAOMI;;2005;Milestone;Shoot-'em-Up;1;Vertical;2L12B;;;;;;;
rhytngk;Rhythm Tengoku;NAOMI;;2007;Sega;Rhythm;1;Horizontal;2L12B;;;;;;;
rhytngk_1;Rhythm Tengoku (Alt);NAOMI;;2007;Sega;Rhythm;1;Horizontal;2L12B;;;;;;;
Samba_De_Amigo_EPR-22966B_Patched;Samba De Amigo;NAOMI;;1999;Sega;Rhythm;2;Horizontal;Maracas;;;;;;;
SegaStrikeFighter;Sega Strike Fighter;NAOMI;;2000;Sega AM1;Simulation;1;Horizontal;HOTAS;;;;;;;
SegaTetris;Sega Tetris;NAOMI;;1999;Sega;Puzzle;2;Horizontal;2L12B;;;;;;;
Sega_Marine_Fishing_EPR-22221;Sega Marine Fishing;NAOMI;;1999;Sega;Simulation;1;Horizontal;Fishing Reel;;;;;;;
senkonewv6;Senko no Ronde New Version;NAOMI;;2005;Sega;Action;2;Horizontal;2L12B;;;;;;;
senkov3;Senko no Ronde;NAOMI;;2005;Sega;Action;2;Horizontal;2L12B;;;;;;;
SenkoNoRondeSP_v3;Senko no Ronde SP;NAOMI;;2006;Sega;Action;2;Horizontal;2L12B;;;;;;;
ShikigamiNoShiroII_v6;Shikigami no Shiro II;NAOMI;;2003;Taito;Shoot-'em-Up;2;Vertical;2L12B;;;;;;;
ShootingLove2007-Exzeal_v6;Shooting Love. 2007;NAOMI;;2007;Sega;Shoot-'em-Up;2;Vertical;2L12B;;;;;;;
shootout_pool_epr23844_v1;Shootout Pool (v1);NAOMI;;2002;Sega;Sports;1;Horizontal;2L12B;;;;;;;
shootout_pool_epr23844_v2;Shootout Pool (v2);NAOMI;;2002;Sega;Sports;1;Horizontal;2L12B;;;;;;;
Slashout;Slashout;NAOMI;;2000;Sega;Action;4;Horizontal;2L12B;;;;;;;
spawn;Spawn;NAOMI;;2000;Capcom;Action;4;Horizontal;2L12B;;;;;;;
SpikersBattle;Spikers Battle;NAOMI;;2001;Sega;Action;2;Horizontal;2L12B;;;;;;;
SportsJam;Sports Jam;NAOMI;;2000;Sega;Sports;2;Horizontal;2L12B;;;;;;;
StreetFighterZero3Upper;Street Fighter Zero 3 Upper;NAOMI;;2001;Capcom;Fighting;2;Horizontal;2L12B;;;;;;;
StreetFighterZero3Upper_1;Street Fighter Zero 3 Upper;NAOMI;;2001;Capcom;Fighting;2;Horizontal;2L12B;;;;;;;
SuperShanghai2005VerA_v6;Super Shanghai 2005 Ver. A;NAOMI;;2005;Sega;Table;1;Horizontal;2L12B;;;;;;;
SuperShanghai2005_v6;Super Shanghai 2005;NAOMI;;2005;Sega;Table;1;Horizontal;2L12B;;;;;;;
TetrisKiwamemichi_v6;Tetris Kiwamemichi;NAOMI;;2004;Sega;Puzzle;2;Horizontal;2L12B;;;;;;;
TheTypingOfTheDead;The Typing of the Dead;NAOMI;;2000;Sega;Typing;2;Horizontal;Keyboard;;;;;;;
tokyobus;Tokyo Bus Guide;NAOMI;;1999;Sega;Simulation;1;Horizontal;Wheel;;;;;;;
ToyFighter;Toy Fighter;NAOMI;;1999;Sega;Fighting;2;Horizontal;2L12B;;;;;;;
TriggerHeartExelica_v6;Trigger Heart Exelica;NAOMI;;2006;Sega;Shoot-'em'Up;2;Vertical;2L12B;;;;;;;
Trizeal_v3;Trizeal;NAOMI;;2004;Taito;Shoot-'em'Up;2;Vertical;2L12B;;;;;;;
UnderDefeat_v3;Under Defeat;NAOMI;;2005;G.rev;Shoot-'em'Up;2;Vertical;2L12B;;;;;;;
Usagui-YamashiroMahjongHen_v3;Usagi: Yasei no Touhai: Yamashiro Mahjong Hen;NAOMI;;2003;Taito;Table;1;Horizontal;2L12B;;;;;;;
